,0,1,10,100
20,1.667,nan,nan,nan
30,1.667,1.736,nan,nan
40,1.666,1.7,2.205,nan
50,1.664,1.684,1.913,nan
60,1.658,1.672,1.804,2.497
70,1.646,1.655,1.738,2.256
80,1.628,1.634,1.694,2.066
90,1.607,1.611,1.655,1.945
100,1.583,1.587,1.617,1.844
110,1.56,1.563,1.586,1.768
120,1.539,1.541,1.558,1.704
130,1.519,1.521,1.536,1.654
140,1.502,1.503,1.517,1.613
150,1.487,1.488,1.5,1.579
160,1.474,1.475,1.484,1.549
170,1.463,1.464,1.472,1.525
180,1.454,1.455,1.461,1.507
190,1.446,1.446,1.452,1.491
200,1.439,1.439,1.444,1.479
210,1.433,1.433,1.437,1.468
220,1.427,1.428,1.431,1.459
230,1.423,1.423,1.426,1.45
240,1.419,1.419,1.422,1.442
250,1.415,1.416,1.418,1.436
260,1.413,1.413,1.416,1.431
270,1.41,1.41,1.413,1.427
280,1.408,1.408,1.41,1.423
290,1.406,1.406,1.408,1.42
300,1.405,1.405,1.406,1.417
