,0.001,0.003,0.01,0.03,0.1,0.3,1,3,10,30,100,300
100,78.41,73.88,68.91,,,,,,,,,
150,83.84,79.3,74.34,,,,,,,,,
200,87.68,83.15,78.18,,,,,,,,,
250,90.77,86.24,81.27,,,,,,,,,
298.15,93.27,88.74,83.77,,,,,,,,,
400,97.5,92.97,88.01,,,,,,,,,
500,100.74,96.21,91.24,,,,,,,,,
600,103.39,98.86,,,,,,,,,,
700,105.63,101.1,,,,,,,,,,
800,107.59,103.06,,,,,,,,,,
900,109.33,104.8,,,,,,,,,,
"1,000",110.9,106.37,,,,,,,,,,
"1,100",112.34,107.8,,,,,,,,,,
"1,200",113.66,109.13,,,,,,,,,,
"1,300",114.91,110.37,,,,,,,,,,
"1,400",116.08,111.54,,,,,,,,,,
"1,500",117.21,112.66,,,,,,,,,,
"1,600",118.33,113.75,,,,,,,,,,
"1,700",119.52,114.85,,,,,,,,,,
"1,800",120.89,116.04,,,,,,,,,,
"1,900",122.63,117.43,,,,,,,,,,
"2,000",125.01,119.17,,,,,,,,,,
"2,100",128.42,121.49,,,,,,,,,,
"2,200",133.35,124.69,,,,,,,,,,
"2,300",140.4,129.14,,,,,,,,,,
"2,400",150.05,135.24,,,,,,,,,,
"2,500",162.37,143.35,,,,,,,,,,
"2,600",176.39,153.56,,,,,,,,,,
"2,700",189.95,165.37,,,,,,,,,,
"2,800",200.86,177.48,,,,,,,,,,
"2,900",208.39,188.21,,,,,,,,,,
"3,000",213.14,196.47,,,,,,,,,,
"3,100",216.09,202.2,,,,,,,,,,
"3,200",218,205.97,,,,,,,,,,
"3,400",220.32,210.16,,,,,,,,,,
"3,600",221.86,212.36,,,,,,,,,,
"3,800",223.1,213.85,,,,,,,,,,
"4,000",224.21,215.06,,,,,,,,,,
"4,200",225.24,216.13,,,,,,,,,,
"4,400",226.21,217.12,,,,,,,,,,
"4,600",227.13,218.06,,,,,,,,,,
"4,800",228.02,218.95,,,,,,,,,,
"5,000",228.88,219.8,,,,,,,,,,
"5,200",229.72,220.63,,,,,,,,,,
"5,400",230.54,221.43,,,,,,,,,,
"5,600",231.37,222.23,,,,,,,,,,
"5,800",232.21,223.02,,,,,,,,,,
"6,000",233.01,223.82,,,,,,,,,,
"6,300",234.52,225.08,,,,,,,,,,
"6,600",236.2,226.45,,,,,,,,,,
"7,000",239.09,228.63,,,,,,,,,,
"7,300",241.99,230.68,,,,,,,,,,
"7,600",245.8,233.23,,,,,,,,,,
"8,000",252.82,237.74,,,,,,,,,,
"8,300",259.97,242.22,,,,,,,,,,
"8,600",269.11,247.9,,,,,,,,,,
"9,000",284.87,257.75,,,,,,,,,,
"9,300",299.37,267.11,,,,,,,,,,
"9,600",315.71,278.26,,,,,,,,,,
"10,000",338.54,295.69,,,,,,,,,,
